AVA 901 36/1	R1A	EA 15 Functional Structure	15
. . . . CXS 102 3336	R1A	protobuf 2.3.0	2.3.0
. . . . . 1/CAX 105 4389	R1A	Protocol Buffers  (protobuf)	2.3.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . CAA 901 3122/3	R1A	GTPC adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . . CXS 102 3336	R1A	protobuf 2.3.0	2.3.0
. . . . . 1/CAX 105 4389	R1A	Protocol Buffers  (protobuf)	2.3.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . CAA 901 3123/3	R1A	Uplane traf adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . . CXS 102 3336	R1A	protobuf 2.3.0	2.3.0
. . . . . 1/CAX 105 4389	R1A	Protocol Buffers  (protobuf)	2.3.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . CNA 403 2640/3	R1A	Correlator	
. . . CAA 901 3105/3	R1A	Correlator	
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3342	R1A	Snappy 1.1.1	1.1.1
. . . . . 2/CAX 105 6073	R1A	snappy	1.1.1
. . . . CXS 102 3341	R1A	python-libconfig	0.0.1
. . . . . 1/CAX 105 6426	R1A	python-libconfig	0.0.1
. . . . CXS 102 3731	R1A	libevent	
. . . . . 7/CAX 105 3976	R1A	libevent	2.0.21-STABLE
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3759	R2A	zLib	1.2.3
. . . . . 12/CAX 105 3102	R1A	zLib	1.2.8
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . CNA 403 2904/3	R1A	Core and Probe Common Services	EEA 15.0
. . . CAA 901 3181/3	R1A	Common Services	EEA 15.0
. . CNA 403 2905/3	R1A	SNCD	EEA 15.0
. . . CAA 901 3182/3	R1A	SNCD	EEA 15.0
. . . . CXS 102 4868	R1A	Apache Ant	
. . . . . 7/CAX 105 3024	R1A	Apache Ant	1.8.2
. . . . CXS 102 4906	R1A	ddlutis 1	
. . . . . 1/CAX 105 7431	R1A	DdlUtils, Apache	1
. CRA 119 1896/3	R1A	platform	
. . CNA 403 2797/3	R1A	platform	
. . . CAA 901 3153/3	R1A	OS	
. . . . 69/CAX 105 3951/1	R1A	JRE (Java SE Runtime Environment), Linux x64	7U51
. . . . 9/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.4
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . CAA 901 3154/3	R1A	Linux Extensions	
. . . . 1/CAX 105 6304	R1A	HP Scripting Toolkit for Windows and Linux, HP	9.0-27
. . . . 1/CAX 105 6069/1	R1A	HP Array Configuration Utility CLI, Linux	9.0.24.0
. . . . 7/CAX 105 4331/1	R1A	HP System Health Application and Command Line Utilities, RHEL 6 (AMD64/EM64T)	9.0.0
. . . . 1/CAX 105 5651	R1A	iLO 4 (integrated LightsOut), HP	4
. . . . 9/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.4
. . . . 60/CAX 105 3952/1	R1A	JDK (Java SE Development Kit), Oracle, Linux x64	7U51
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . CAA 901 3155/3	R1A	OAM Software	
. . . . CXS 102 3933	R1A	config.jar	
. . . . . 1/CAX 105 6770	R1A	config, Typesafe	1.0.2
. . . . CXS 102 3928	R1A	Logback	
. . . . . 9/CAX 105 5342	R1A	logback	1.0.13
. . . . CXS 102 3927	R1A	Apache Commons Lang	
. . . . . 8/CAX 105 3253	R1A	Apache Commons Lang	2.6
. . . . CXS 102 3926	R1A	Xalan-Java, Apache	
. . . . . 1/CAX 105 3442	R1A	Xalan-Java, Apache	2.7.0
. . . . CXS 102 3925	R1A	Commons BeanUtils, Apache	
. . . . . 6/CAX 105 3285	R1A	Commons BeanUtils, Apache	1.8.3
. . . . CXS 102 3924	R1A	Commons-logging	
. . . . . 1/CAX 105 3110	R1A	Apache Commons Logging	1.1.1
. . . . CXS 102 3923	R1A	Commons-configuration	
. . . . . 6/CAX 105 3383	R1A	Commons Configuration, Apache	1.9
. . . . CXS 102 3922	R1A	Curator, Apache	
. . . . . 6/CAX 105 6145	R1A	Curator, Apache	2.3.0
. . . . CXS 102 3921	R1A	Cloudera Apache Hadoop	
. . . . . 1/CAX 105 6952	R1A	Cloudera Apache Hadoop (from repository)	2.0.0-CDH4.3.0
. . . . CXS 102 3920	R1A	Zookeeper, Cloudera	
. . . . . 2/CAX 105 6317	R1A	Zookeeper, Cloudera (repository)	3.4.5-CDH4.3.0
. . . . CXS 102 3919	R1A	Hbase, Cloudera	
. . . . . 1/CAX 105 6943	R1A	Hbase, Cloudera (from repository)	0.94.6-CDH4.3.0
. . . . CXS 102 3906	R1A	Commons IO	
. . . . . 4/CAX 105 3602	R1A	Apache Commons IO	1.4
. . . . CXS 102 3902	R1A	Slf4j	
. . . . . 13/CAX 105 3096	R1A	SLF4J - Simple Logging Facade for Java	1.6.4
. . . . CXS 102 3935	R1A	Apache Log4j	
. . . . . 11/CAX 105 3123	R1A	Apache Log4J	1.2.17
. . . . CXS 102 3901	R1A	Datanucleus Core	
. . . . . 1/CAX 105 6769	R1A	DataNucleus Core	3.1.3
. . . . CXS 102 3900	R1A	Jline	
. . . . . 4/CAX 105 3781	R1A	JLine	0.9.94
. . . . CXS 102 3899	R1A	jcommander	
. . . . . 2/CAX 105 6303	R1A	JCommander	1.12
. . . . CXS 102 3898	R1A	Javax.jdo	
. . . . . 1/CAX 105 6148	R1A	Apache JDO API	3.0.1
. . . . CXS 102 3896	R1A	clamshell-cli	
. . . . . 1/CAX 105 6171	R1A	Clamshell-Cli	0.5.2
. . . . CXS 102 3895	R1A	Gson	
. . . . . 6/CAX 105 3893	R1A	Google-gson	2.2.2
. . . . CXS 102 3894	R1A	Guava	
. . . . . 6/CAX 105 4600	R1A	Guava, Google	14.0.1
. . . . CXS 102 3892	R1A	jackson-core-asl	
. . . . . 9/CAX 105 4460	R1A	jackson-core-asl	1.9.12
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . . CXS 102 1155	R1A	lmclient	8.0.2
. . . . . 1/CAX 105 3268/1	R1A	Sentinel RMS License Manager, SafeNet (distribution)	8.0.2
. . . . CXS 102 1154	R1A	ASM, ObjectWeb	3.1
. . . . . 1/CAX 105 3360	R1A	ASM, ObjectWeb	3.1
. . . . CXS 102 1153	R1A	cglib	2.2
. . . . . 2/CAX 105 3429	R1A	cglib	2.2
. . . . CXS 102 1151	R1A	Shoal GMS	1.5.29
. . . . . 1/CAX 105 5194	R1A	Shoal GMS	1.5.29
. . . . CXS 102 3093	R1A	JNA (Java Native Access)	4.0.0
. . . . . 2/CAX 105 4384	R1A	jna	4.0.0
. . . . 6/CAX 105 3906	R1A	SNMP4J Agent	2.0.10A
. . . . 1/CAX 105 6668	R1A	SNMP4J Agentx	2.1.0
. . . . CXS 102 1097	R1A	Ericsson SNMP Agent 4 - 3PP	
. . . . 2/CAX 105 3312	R1A	Tivoli Netcool/SSM and ASM Agents, IBM, (Bundle)	4
. . . CAA 901 3157/3	R1A	App Server	
. . . . CXS 102 3892	R1A	jackson-core-asl	
. . . . . 9/CAX 105 4460	R1A	jackson-core-asl	1.9.12
. . . . CXS 102 3902	R1A	Slf4j	
. . . . . 13/CAX 105 3096	R1A	SLF4J - Simple Logging Facade for Java	1.6.4
. . . . CXS 102 3925	R1A	Commons BeanUtils, Apache	
. . . . . 6/CAX 105 3285	R1A	Commons BeanUtils, Apache	1.8.3
. . . . CXS 102 3911	R1A	Xerces2	
. . . . . 19/CAX 105 3227	R1A	Xerces2 Java Parser, Apache	2.11.0
. . . . CXS 102 3913	R1A	ANTLR	
. . . . . 4/CAX 105 3419	R1A	ANTLR	2.7.2
. . . . CXS 102 3914	R1A	Commons Collections	
. . . . . 2/CAX 105 3447	R1A	Commons Collections, Apache	3.2.1
. . . . CXS 102 3915	R1A	Apache CXF	
. . . . . 9/CAX 105 3252	R1A	Apache CXF	2.5.0
. . . . CXS 102 3916	R1A	Commons CLI	
. . . . . 3/CAX 105 3067	R1A	Apache Commons CLI	1.2
. . . . 8/CAX 105 5806	R1A	JBoss Enterprise Application Platform, Red Hat	6.2.1
. . . . CXS 102 3932	R1A	Snowdrop	
. . . . . 1/CAX 105 6779	R1A	Snowdrop	2.1.1
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . CAA 901 3158/3	R1A	License Server	
. . . . 16/CAX 105 3268/1	R1A	Sentinel RMS License Manager, SafeNet (distribution)	8.5.1
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . CAA 901 3159/3	R1A	SUF	
. . . . 62/CAX 105 3951/3	R1A	JRE (Java SE Runtime Environment), Linux x86	7U25
. . . . 9/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.4
. . . . 4/CAX 105 4251	R1A	DHTMLX Suite Professional Edition, DHTMLX	3.6
. . . . 16/CAX 105 3268/1	R1A	Sentinel RMS License Manager, SafeNet (distribution)	8.5.1
. . . . 3/CAX 105 3151	R1A	Apache Struts	1.3.5
. . . . 1/CAX 105 3414	R1A	jQuery	1.2.6
. . . . 3/CAX 105 3430	R1A	Castor	1.1
. . . . 1/CAX 105 4534	R1A	dwr, (Direct Web Remoting)	2.0.5
. . . . 4/CAX 105 3772	R1A	Derby, Apache	10.5.3.0
. . . . 1/CAX 105 4035	R1A	Trilead SSH for Java	BUILD 213
. . . . 4/CAX 105 3602	R1A	Apache Commons IO	1.4
. . . . 4/CAX 105 3211	R1A	Apache Commons Net	1.3.0
. . . . 50/CAX 105 3029	R1A	Apache Tomcat	6.0.36
. . . . 2/CAX 105 4311	R1A	iBATIS, Apache	2.3.4
. . . . 1/CAX 105 3285	R1A	Commons BeanUtils, Apache	1.7.0
. . . . 5/CAX 105 3387	R1A	Commons Digester, Apache	1.6
. . . . 7/CAX 105 3508	R1A	AspectJ, Eclipse	1.6.9
. . . . 1/CAX 105 4568	R1A	Jasypt (Java Simplified Encryption)	1.6
. . . . 3/CAX 105 3454	R1A	ICU4J, IBM	4.4.1.1
. . . . 19/CAX 105 3227	R1A	Xerces2 Java Parser, Apache	2.11.0
. . . . 1/CAX 105 3024	R1A	Apache Ant	1.7.0
. . . . 4/CAX 105 3419	R1A	ANTLR	2.7.2
. . . . 3/CAX 105 3253	R1A	Apache Commons Lang	2.1
. . . . 13/CAX 105 3199	R1A	Quartz	2.1.1
. . . . 2/CAX 105 3447	R1A	Commons Collections, Apache	3.2.1
. . . . 10/CAX 105 3096	R1A	SLF4J - Simple Logging Facade for Java	1.6.1
. . . . 13/CAX 105 3252	R1A	Apache CXF	2.7.5
. . . . 3/CAX 105 3067	R1A	Apache Commons CLI	1.2
. . . . 5/CAX 105 4861	R1A	jQuery Dynatree	1.2.4
. . . . CAX 103 3719	R1A	NGEE Software Source Code	
. . . . 1/CAX 105 6999	R1A	vSphere SDK for Perl, VMware	5.5.0
. . . CAA 901 3160/3	R1A	OSINIT	
. CRA 119 1947/3	R1A	Offline Data Analytics	EEA 15.0
. . CNA 403 2908/3	R1A	scheduler	EEA 15.0
. . . CAA 901 3185/3	R1A	scheduler	EEA 15.0
. . CNA 403 2909/3	R1A	preprocessors	EEA 15.0
. . . CAA 901 3186/3	R1A	preprocessors	EEA 15.0
. . CNA 403 2910/3	R1A	profiler	EEA 15.0
. . . CAA 901 3187/3	R1A	profiler	EEA 15.0
. . . . CXS 102 3130	R1A	Commons-Lang 2.6	2.6
. . . . . 8/CAX 105 3253	R1A	Apache Commons Lang	2.6
. . . . CXS 102 3131	R2A	Log4j 1.2 16	
. . . . . 11/CAX 105 3123	R1A	Apache Log4J	1.2.17
. . . . CXS 102 3132	R2A	Lombok 0.11.6	
. . . . . 2/CAX 105 6250	R1A	Lombok	0.12.0
. . . . CXS 102 3133	R2A	SLF4J - Simple Logging Facade for Java	
. . . . . 16/CAX 105 3096	R1A	SLF4J - Simple Logging Facade for Java	1.7.2
. . . . CXS 102 3342	R1A	Snappy 1.1.1	1.1.1
. . . . . 2/CAX 105 6073	R1A	snappy	1.1.1
. . . . CXS 102 3334	R2A	json-smart	1.1.1
. . . . . 2/CAX 105 6446	R1A	json-smart	1.1.1
. . . . CXS 102 3810	R1A	Commons-lang3	COMMONS-LANG3  3.2.1
. . . . . 10/CAX 105 3253	R1A	Apache Commons Lang	3.2.1
. . . . CXS 102 3732	R1A	Curator, Apache	2.3.0
. . . . . 6/CAX 105 6145	R1A	Curator, Apache	2.3.0
. . . . CXS 102 3729	R1A	Apache Commons IO	
. . . . . 9/CAX 105 3602	R1A	Apache Commons IO	2.4
. . . . CXS 102 3136	R1A	Common Codec 1.8	1.8
. . . . . 8/CAX 105 3109	R1A	Commons Codec, Apache	1.8
. . . . CXS 102 3761	R1A	Guava, Google	
. . . . . 6/CAX 105 4600	R1A	Guava, Google	14.0.1
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 4902	R1A	Apache Parquet	1.5.0
. . . . . 1/CAX 105 7430	R1A	Apache Parquet	1.5.0
. . . . CXS 102 4903	R1A	Guice, Google	
. . . . . 3/CAX 105 3017	R1A	Guice, Google	3
. . . . CXS 102 4904	R1A	parquet-avro	1.6.0RC2
. . . . . 1/CAX 105 7174	R1A	parquet-avro	1.6.0RC2
. . . . CXS 102 4905	R1A	Hadoop-core 1.2.1	
. . . . . 6/CAX 105 4648	R1A	Apache Hadoop	1.2.1
. . . . CXS 102 4907	R1A	hazlecast	3.3.1
. . . . . 21/CAX 105 3759	R1A	Hazelcast	3.3.1
. . . . CXS 102 3335	R1A	Snappy-java	1.1.0
. . . . . 1/CAX 105 6425	R1A	snappy-java	1.1.0
. . CNA 403 2906/3	R1A	Hadoop DB	EEA 15.0
. . . CAA 901 3183/3	R1A	hadoop DB	EEA 15.0
. . CNA 403 2907/3	R1A	Common Services	EEA 15.0
. . . CAA 901 3184/3	R1A	common services	EEA 15.0
. . . . CXS 102 4869	R1A	Apache Velocity Engine	
. . . . . 5/CAX 105 3078	R1A	Apache Velocity Engine	1.7
. . . . CXS 102 4903	R1A	Guice, Google	
. . . . . 3/CAX 105 3017	R1A	Guice, Google	3
